eventID,eventDate (TimeStamp for your video?),eventTime  (TimeStamp for your video?),eventTimeEnd,occurrenceID,scientificName,SppPrecentCover,PercentCover,basisOfRecord,recordedBy,occurrenceStatus,occurrenceRemarks,identifiedBy,identificationRemarks,,
The sampling event: SonarTest2024,YYY-MM-DD of the video/footage; example 2009-02-20T08:40Z (20 February 2009 8:40am UTC),example: 08:40:21Z (8:40:21am UTC),,The specific video or footage been annotated: Video_LassingPark_001,"Seagrass: Thalassia, Halodule, Syringodium, etc.",,,How the organism was recorded or collected: MachineObservation; FieldObservation; etc,"Name of the peron (s) involved in the data collection: Bea;  Roxann, Sherryl… ",Was the seagrass Present/absent? (0/1),"Any comments about the image footage or sampling remarks, e. g.: dense or sparse seagrass",Who identifyed the seagrass in the video: Lilly or Jeromy,Comments such as: I'm not sure about the identification; Image is very bright; it is impossible to idenity to species level.,,
MBSTest2024,6/25/2024,00:18:11:73,00:18:37:00,Video_Lassing_001,Thalassia,70,100,Blackfly,,1,"Little to no glare, some brown algae on Thalassia",Bea,,,
MBSTest2024,6/25/2024,00:18:11:74,00:18:37:00,Video_Lassing_001,Syringodium,30,100,Blackfly,,1,,Bea,,,
MBSTest2024,6/25/2024,00:21:41:87,00:21:54:34,Video_Lassing_001,Thalassia,30,70,Blackfly,,1,"Glare at top of frame, mixed meadow, potentially underestimating S",Bea,,,
MBSTest2024,6/25/2024,00:21:41:87,00:21:54:34,Video_Lassing_001,Syringodium,40,70,Blackfly,,1,,Bea,,,
MBSTest2024,6/25/2024,00:21:59:04,,Video_Lassing_001,Syringodium,40,40,Blackfly,,1,"Patchy meadow, some glare at top and left side of frame",Bea,,,
MBSTest2024,6/25/2024,00:00:00:00,00:00:59:00,Video_Lassing_001,Thalassia,20,60,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:00:00:00,00:00:59:00,Video_Lassing_001,Syringodium,40,60,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:00:59:33,00:01:31:67,Video_Lassing_001,Thalassia,20,90,Blackfly,,1,"S dominant, potentially underestimated",Jeromy,,,
MBSTest2024,6/25/2024,00:00:59:33,00:01:31:67,Video_Lassing_001,Syringodium,70,90,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:01:32:00,00:01:59:67,Video_Lassing_001,Syringodium,80,90,Blackfly,,1,brown algae visible,Jeromy,,,
MBSTest2024,6/25/2024,00:01:32:00,00:01:59:67,Video_Lassing_001,Thalassia,10,90,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:02:00:00,00:02:11:33,Video_Lassing_001,Thalassia,20,50,Blackfly,,1,lot of glare on right,Jeromy,uncertain mix of T and S,,
MBSTest2024,6/25/2024,00:02:00:00,00:02:11:33,Video_Lassing_001,Syringodium,30,50,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:02:11:66,00:02:39:00,Video_Lassing_001,Syringodium,10,10,Blackfly,,1,"glare on most of screen, little present at corners",Jeromy,,,
MBSTest2024,6/25/2024,00:02:39:33,00:03:02:67,Video_Lassing_001,Syringodium,90,90,Blackfly,,1,very dense S,Jeromy,,,
MBSTest2024,6/25/2024,00:03:03:00,00:03:13:00,Video_Lassing_001,Thalassia,10,60,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:03:03:00,00:03:13:00,Video_Lassing_001,Syringodium,60,70,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:03:13:33,00:03:23:33,Video_Lassing_001,Thalassia,10,60,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:03:13:33,00:03:23:33,Video_Lassing_001,Syringodium,50,60,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:03:23:66,00:03:44:66,Video_Lassing_001,Syringodium,30,30,Blackfly,,1,heavy glare,Jeromy,,,
MBSTest2024,6/25/2024,00:03:45:00,00:03:57:00,Video_Lassing_001,Syringodium,50,50,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:03:57:33,00:04:07:66,Video_Lassing_001,Syringodium,30,90,Blackfly,,1,glare on left,Jeromy,,,
MBSTest2024,6/25/2024,00:04:08:00,00:05:49:00,Video_Lassing_001,Thalassia,30,90,Blackfly,,1,glare on left,Jeromy,,,
MBSTest2024,6/25/2024,00:04:08:00,00:05:49:00,Video_Lassing_001,Syringodium,60,90,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:05:49:33,00:06:52:67,Video_Lassing_001,Thalassia,10,90,Blackfly,,1,glare on left,Jeromy,,,
MBSTest2024,6/25/2024,00:05:49:33,00:06:52:67,Video_Lassing_001,Syringodium,80,90,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:06:53:00,00:07:27:00,Video_Lassing_001,Syringodium,60,60,Blackfly,,1,"heavy glare, not from sediment? from vehicle itself?",Jeromy,,,
MBSTest2024,6/25/2024,00:07:27:33,00:10:18:33,Video_Lassing_001,N/A,0,0,Blackfly,,0,"all bright light, no seagrass visible",Jeromy,,,
MBSTest2024,6/25/2024,00:10:18:66,00:10:53:33,Video_Lassing_001,Thalassia,10,20,Blackfly,,1,screen mostly bright except on left,Jeromy,,,
MBSTest2024,6/25/2024,00:10:18:66,00:10:53:33,Video_Lassing_001,Syringodium,10,20,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:10:53:66,00:10:58:00,Video_Lassing_001,Thalassia,20,80,Blackfly,,1,video slightly blurry,Jeromy,,,
MBSTest2024,6/25/2024,00:10:53:66,00:10:58:00,Video_Lassing_001,Syringodium,60,80,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:10:58:33,00:11:03:66,Video_Lassing_001,Thalassia,70,100,Blackfly,,1,"video very blurry, potentially very high T",Jeromy,,,
MBSTest2024,6/25/2024,00:10:58:33,00:11:03:66,Video_Lassing_001,Syringodium,30,100,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:11:04:00,00:11:09:00,Video_Lassing_001,Thalassia,60,80,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:11:04:00,00:11:09:00,Video_Lassing_001,Syringodium,20,80,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:11:09:33,00:11:20:66,Video_Lassing_001,Syringodium,10,10,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:00:00:00,00:01:00:00,Video_Lassing_001,Thalassia,20,60,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:00:00:00,00:01:00:00,Video_Lassing_001,Syringodium,40,60,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:01:00:00,00:01:40:00,Video_Lassing_001,Thalassia,30,90,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:01:00:00,00:01:40:00,Video_Lassing_001,Syringodium,60,90,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:01:40:00,00:02:02:00,Video_Lassing_001,Syringodium,90,90,Blackfly,,1,,Lillian,"did not identify any T, unsure if there is a low percent",,
MBSTest2024,6/25/2024,00:02:02:00,00:02:14:00,Video_Lassing_001,Thalassia,10,30,Blackfly,,1,"very bright, brightness possibly not from sediment blocking vision of seagrass",Lillian,,,
MBSTest2024,6/25/2024,00:02:02:00,00:02:14:00,Video_Lassing_001,Syringodium,20,30,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:02:14:00,00:02:20:00,Video_Lassing_001,,,,Blackfly,,0,entire image white,Lillian,,,
MBSTest2024,6/25/2024,00:02:20:00,00:02:43:00,Video_Lassing_001,Syringodium,60,60,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:02:43:00,00:02:52:00,Video_Lassing_001,Syringodium,100,100,Blackfly,,1,Small circle spots of brightness possibly coming from camera not sediment since they continue in the video,Lillian,,,
MBSTest2024,6/25/2024,00:02:52:00,00:03:09:00,Video_Lassing_001,Syringodium,60,60,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:03:09:00,00:03:25:00,Video_Lassing_001,Syringodium,40,40,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:03:25:00,00:03:40:00,Video_Lassing_001,Syringodium,20,20,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:03:40:00,00:04:00:00,Video_Lassing_001,Syringodium,100,100,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:04:00:00,00:04:15:00,Video_Lassing_001,Syringodium,40,100,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:04:00:00,00:04:15:00,Video_Lassing_001,Thalassia,60,100,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:04:15:00,00:05:29:00,Video_Lassing_001,Syringodium,30,80,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:04:15:00,00:05:29:00,Video_Lassing_001,Thalassia,50,80,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:05:29:00,00:05:42:00,Video_Lassing_001,Syringodium,80,90,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:05:29:00,00:05:42:00,Video_Lassing_001,Thalassia,10,90,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:05:42:00,00:05:54:00,Video_Lassing_001,Syringodium,90,90,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:05:54:00,00:07:00:00,Video_Lassing_001,Syringodium,50,50,Blackfly,,1,"bright in left corner that continues in video, may not be from sediment",Lillian,,,
MBSTest2024,6/25/2024,00:07:00:00,00:07:33:00,Video_Lassing_001,,0,0,Blackfly,,0,entire image white,Lillian,,,
MBSTest2024,6/25/2024,00:07:33:00,00:10:26:00,Video_Lassing_001,Syringodium,20,20,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:10:26:00,00:11:00:00,Video_Lassing_001,Thalassia,80,100,Blackfly,,1,camera more blurry now after long period of all bright,Lillian,,,
MBSTest2024,6/25/2024,00:10:26:00,00:11:00:00,Video_Lassing_001,Syringodium,20,100,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:11:00:00,00:11:09:00,Video_Lassing_001,Syringodium,50,50,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:11:09:00,00:11:13:00,Video_Lassing_001,,,0,Blackfly,,0,image all white,Lillian,,,
MBSTest2024,6/25/2024,00:11:13:00,00:11:23:00,Video_Lassing_001,Thalassia,60,80,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:11:13:00,00:11:23:00,Video_Lassing_001,Syringodium,20,80,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:11:23:00,00:11:36:00,Video_Lassing_001,N/A,,0,Blackfly,,0,image all white,Lillian,,,
MBSTest2024,6/25/2024,00:11:36:00,00:11:47:00,Video_Lassing_001,Syringodium,100,100,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:11:47:00,00:12:08:00,Video_Lassing_001,Syringodium,40,40,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:12:08:00,00:12:16:00,Video_Lassing_001,Syringodium,80,80,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:12:16:00,00:12:35:00,Video_Lassing_001,Syringodium,50,60,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:12:16:00,00:12:35:00,Video_Lassing_001,Thalassia,10,60,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:12:35:00,00:12:42:00,Video_Lassing_001,Syringodium,40,40,Blackfly,,1,,Lillian,"There is a large patch of brown/red, possibly brown algae or other species, takes up a large portion of the image",,
MBSTest2024,6/25/2024,00:12:42:00,00:12:49:00,Video_Lassing_001,Syringodium,50,90,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:12:42:00,00:12:49:00,Video_Lassing_001,Thalassia,40,90,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:12:49:00,00:12:54:00,Video_Lassing_001,Syringodium,30,80,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:12:49:00,00:12:54:00,Video_Lassing_001,Thalassia,50,80,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:12:54:00,00:13:08:00,Video_Lassing_001,Syringodium,30,30,Blackfly,,1,"image blurry, difficult to idenify species",Lillian,,,
MBSTest2024,6/25/2024,00:13:08:00,00:13:11:00,Video_Lassing_001,Thalassia,100,100,Blackfly,,1,not sure if S present,Lillian,,,
MBSTest2024,6/25/2024,00:13:11:00,00:13:23:00,Video_Lassing_001,Thalassia,40,80,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:13:11:00,00:13:23:00,Video_Lassing_001,Syringodium,40,80,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:13:23:00,00:13:36:00,Video_Lassing_001,Thalassia,70,100,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:13:23:00,00:13:36:00,Video_Lassing_001,Syringodium,30,100,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:13:36:00,00:14:12:00,Video_Lassing_001,Thalassia,50,70,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:13:36:00,00:14:12:00,Video_Lassing_001,Syringodium,20,70,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:14:12:00,00:15:12:00,Video_Lassing_001,Thalassia,40,80,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:14:12:00,00:15:12:00,Video_Lassing_001,Syringodium,40,80,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:15:12:00,00:15:57:00,Video_Lassing_001,Thalassia,50,90,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:15:12:00,00:15:57:00,Video_Lassing_001,Syringodium,40,90,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:15:57:00,00:16:32:00,Video_Lassing_001,Thalassia,70,90,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:15:57:00,00:16:32:00,Video_Lassing_001,Syringodium,20,90,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,00:16:32:00,00:17:14:00,Video_Lassing_001,Thalassia,70,70,Blackfly,,1,not sure if S present,Lillian,,,
MBSTest2024,6/25/2024,00:17:14:00,00:17:54:00,Video_Lassing_001,Thalassia,50,70,Blackfly,,1,,Lillian,,,
MBSTest2024,6/25/2024,,,Video_Lassing_001,,,,Blackfly,,,,,,,
MBSTest2024,6/25/2024,00:11:21:00,00:11:35:67,Video_Lassing_001,Thalassia,40,70,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:11:21:00,00:11:35:67,Video_Lassing_001,Syringodium,30,70,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:11:36:00,00:11:45:00,Video_Lassing_001,Thalassia,0,0,Blackfly,,0,all white light,Jeromy,,,
MBSTest2024,6/25/2024,00:11:45:33,00:11:54:33,Video_Lassing_001,Thalassia,10,90,Blackfly,,1,some browning of T,Jeromy,,,
MBSTest2024,6/25/2024,00:11:45:33,00:11:54:33,Video_Lassing_001,Syringodium,80,90,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:11:54:66,00:11:58:67,Video_Lassing_001,Syringodium,50,50,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:11:59:00,00:12:22:33,Video_Lassing_001,Syringodium,70,70,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:12:22:66,00:12:40:00,Video_Lassing_001,Thalassia,10,80,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:12:22:66,00:12:40:00,Video_Lassing_001,Syringodium,70,80,Blackfly,,1,S noticeably thinner/shorter than last block,Jeromy,,,
MBSTest2024,6/25/2024,00:12:41:33,00:12:51:67,Video_Lassing_001,Thalassia,10,90,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:12:41:33,00:12:51:67,Video_Lassing_001,Syringodium,80,90,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:12:52:00,00:13:05:67,Video_Lassing_001,Thalassia,60,90,Blackfly,,1,video grows blurry,Jeromy,,,
MBSTest2024,6/25/2024,00:12:52:00,00:13:05:67,Video_Lassing_001,Syringodium,30,90,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:13:06:00,00:13:11:00,Video_Lassing_001,Syringodium,50,50,Blackfly,,1,,Jeromy,"unclear, could be any species other than T",,
MBSTest2024,6/25/2024,00:13:11:33,00:14:36:00,Video_Lassing_001,Thalassia,90,90,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:14:36:33,00:16:22:33,Video_Lassing_001,Thalassia,70,90,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:14:36:33,00:16:22:33,Video_Lassing_001,Syringodium,20,90,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:16:22:66,00:17:43:00,Video_Lassing_001,Thalassia,80,80,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:17:43:33,00:18:13:00,Video_Lassing_001,Thalassia,60,90,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:17:43:33,00:18:13:00,Video_Lassing_001,Syringodium,30,90,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:18:13:33,00:18:35:00,Video_Lassing_001,Thalassia,60,100,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:18:13:33,00:18:35:00,Video_Lassing_001,Syringodium,40,100,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:18:35:33,00:19:15:00,Video_Lassing_001,Syringodium,80,90,Blackfly,,1,"very dense S, could be 100% but lot of glare",Jeromy,,,
MBSTest2024,6/25/2024,00:18:35:33,00:19:15:00,Video_Lassing_001,Thalassia,10,90,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:19:15:33,00:19:25:33,Video_Lassing_001,Syringodium,80,80,Blackfly,,1,"shorter, patchier S than last block",Jeromy,,,
MBSTest2024,6/25/2024,00:19:25:66,00:20:00:00,Video_Lassing_001,Thalassia,40,100,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:19:25:66,00:20:00:00,Video_Lassing_001,Syringodium,60,100,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:20:00:33,00:20:11:33,Video_Lassing_001,Thalassia,60,90,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:20:00:33,00:20:11:33,Video_Lassing_001,Syringodium,30,90,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:20:11:33,00:20:26:33,Video_Lassing_001,Thalassia,80,90,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:20:26:66,00:20:37:33,Video_Lassing_001,Thalassia,50,60,Blackfly,,1,,Jeromy,,,
MBSTest2024,6/25/2024,00:20:26:66,00:20:37:33,Video_Lassing_001,Syringodium,10,60,Blackfly,,1,,Jeromy,,,
